participantId,angle,response,feedback,trial,correct,phase
09E841DE42B04399AD7A4B42F569C40A,42.png,1,1,9,1,practice
09E841DE42B04399AD7A4B42F569C40A,56.png,1,0,10,0,practice
09E841DE42B04399AD7A4B42F569C40A,42.png,1,1,11,1,practice
09E841DE42B04399AD7A4B42F569C40A,56.png,1,0,12,0,practice
09E841DE42B04399AD7A4B42F569C40A,56.png,0,0,13,1,practice
09E841DE42B04399AD7A4B42F569C40A,42.png,0,0,14,1,practice
09E841DE42B04399AD7A4B42F569C40A,56.png,0,0,15,1,practice
09E841DE42B04399AD7A4B42F569C40A,42.png,0,1,16,0,practice
09E841DE42B04399AD7A4B42F569C40A,56.png,0,0,17,1,practice
09E841DE42B04399AD7A4B42F569C40A,42.png,1,1,18,1,practice
09E841DE42B04399AD7A4B42F569C40A,56.png,1,0,19,0,practice
09E841DE42B04399AD7A4B42F569C40A,42.png,0,1,20,0,practice
09E841DE42B04399AD7A4B42F569C40A,56.png,0,0,21,1,practice
09E841DE42B04399AD7A4B42F569C40A,56.png,NA,0,22,NA,practice
09E841DE42B04399AD7A4B42F569C40A,42.png,1,0,23,0,practice
09E841DE42B04399AD7A4B42F569C40A,42.png,0,1,24,0,practice
09E841DE42B04399AD7A4B42F569C40A,21.png,NA,NA,25,NA,test
09E841DE42B04399AD7A4B42F569C40A,21.png,1,NA,26,NA,test
09E841DE42B04399AD7A4B42F569C40A,56.png,0,NA,27,NA,test
09E841DE42B04399AD7A4B42F569C40A,56.png,0,NA,28,NA,test
09E841DE42B04399AD7A4B42F569C40A,35.png,1,NA,29,NA,test
09E841DE42B04399AD7A4B42F569C40A,35.png,0,NA,30,NA,test
09E841DE42B04399AD7A4B42F569C40A,14.png,1,NA,31,NA,test
09E841DE42B04399AD7A4B42F569C40A,14.png,1,NA,32,NA,test
09E841DE42B04399AD7A4B42F569C40A,49.png,0,NA,33,NA,test
09E841DE42B04399AD7A4B42F569C40A,49.png,0,NA,34,NA,test
09E841DE42B04399AD7A4B42F569C40A,70.png,1,NA,35,NA,test
09E841DE42B04399AD7A4B42F569C40A,70.png,0,NA,36,NA,test
09E841DE42B04399AD7A4B42F569C40A,28.png,0,NA,37,NA,test
09E841DE42B04399AD7A4B42F569C40A,28.png,0,NA,38,NA,test
09E841DE42B04399AD7A4B42F569C40A,84.png,1,NA,39,NA,test
09E841DE42B04399AD7A4B42F569C40A,84.png,1,NA,40,NA,test
09E841DE42B04399AD7A4B42F569C40A,7.png,1,NA,41,NA,test
09E841DE42B04399AD7A4B42F569C40A,7.png,1,NA,42,NA,test
09E841DE42B04399AD7A4B42F569C40A,42.png,0,NA,43,NA,test
09E841DE42B04399AD7A4B42F569C40A,42.png,0,NA,44,NA,test
09E841DE42B04399AD7A4B42F569C40A,77.png,0,NA,45,NA,test
09E841DE42B04399AD7A4B42F569C40A,77.png,0,NA,46,NA,test
09E841DE42B04399AD7A4B42F569C40A,63.png,0,NA,47,NA,test
09E841DE42B04399AD7A4B42F569C40A,63.png,1,NA,48,NA,test
09EB4232512B4BD5B6BC2F829580E754,56.png,NA,0,1,NA,practice
09EB4232512B4BD5B6BC2F829580E754,56.png,NA,0,2,NA,practice
09EB4232512B4BD5B6BC2F829580E754,42.png,NA,1,3,NA,practice
09EB4232512B4BD5B6BC2F829580E754,56.png,NA,0,4,NA,practice
09EB4232512B4BD5B6BC2F829580E754,42.png,NA,1,5,NA,practice
